created_date,count
29/12/2023,2682
30/12/2023,1641
31/12/2023,1210
01/01/2024,1394
02/01/2024,4113
03/01/2024,3543
04/01/2024,3286
05/01/2024,2986
06/01/2024,1696
07/01/2024,1517
08/01/2024,3911
09/01/2024,3230
10/01/2024,3159
11/01/2024,3039
12/01/2024,2926
13/01/2024,1688
14/01/2024,1601
15/01/2024,3923
16/01/2024,3317
17/01/2024,3219
18/01/2024,3873
19/01/2024,3687
20/01/2024,2223
21/01/2024,1707
22/01/2024,3985
23/01/2024,3314
24/01/2024,3094
25/01/2024,2985
26/01/2024,2863
27/01/2024,1709
28/01/2024,1535
29/01/2024,3980
30/01/2024,3107
31/01/2024,3026
01/02/2024,2734
02/02/2024,2813
03/02/2024,1725
04/02/2024,1623
05/02/2024,3764
06/02/2024,3063
07/02/2024,2917
08/02/2024,2947
09/02/2024,2879
10/02/2024,1661
11/02/2024,1573
12/02/2024,3747
13/02/2024,3055
14/02/2024,2856
15/02/2024,2969
16/02/2024,3022
17/02/2024,1753
18/02/2024,1666
19/02/2024,3829
20/02/2024,2966
21/02/2024,2832
22/02/2024,2868
23/02/2024,2660
24/02/2024,1625
25/02/2024,1522
26/02/2024,3697
27/02/2024,2998
28/02/2024,2811
29/02/2024,2721
01/03/2024,2691
02/03/2024,1608
03/03/2024,1488
04/03/2024,3628
05/03/2024,3014
06/03/2024,2791
07/03/2024,2822
08/03/2024,2663
09/03/2024,1549
10/03/2024,1339
11/03/2024,3407
12/03/2024,2868
13/03/2024,2818
14/03/2024,2787
15/03/2024,2543
16/03/2024,1656
17/03/2024,1443
18/03/2024,3557
19/03/2024,2985
20/03/2024,2770
21/03/2024,2674
22/03/2024,2582
23/03/2024,1581
24/03/2024,1432
25/03/2024,3419
26/03/2024,2921
27/03/2024,2761
28/03/2024,2481
29/03/2024,1527
30/03/2024,1520
31/03/2024,1083
01/04/2024,1698
02/04/2024,3554
03/04/2024,2995
04/04/2024,2865
05/04/2024,2879
06/04/2024,1651
07/04/2024,1405
08/04/2024,3466
09/04/2024,2887
10/04/2024,2729
11/04/2024,2741
12/04/2024,2549
13/04/2024,1488
14/04/2024,1364
15/04/2024,3540
16/04/2024,2829
17/04/2024,2608
18/04/2024,2517
19/04/2024,2469
20/04/2024,1384
21/04/2024,1375
22/04/2024,3389
23/04/2024,2662
24/04/2024,2576
25/04/2024,2573
26/04/2024,2438
27/04/2024,1399
28/04/2024,1367
29/04/2024,3438
30/04/2024,2725
01/05/2024,2736
02/05/2024,2591
03/05/2024,2405
04/05/2024,1387
05/05/2024,1207
06/05/2024,1718
07/05/2024,3420
08/05/2024,2748
09/05/2024,2708
10/05/2024,2511
11/05/2024,1434
12/05/2024,1324
13/05/2024,3392
14/05/2024,2780
15/05/2024,2551
16/05/2024,2539
17/05/2024,2280
18/05/2024,1345
